id,city,latitude,longitude,region_type,datetime,fetch_datetime,temperature,humidity,pressure,wind_speed,rainfall_1h,air_quality_index,extreme_heat_alert,high_wind_alert,high_humidity_alert,weather_description
1,Chennai,13.0878,80.2785,Coastal,31-01-2026 15:23,31-01-2026 15:28,28.51,56,1014,4.12,0,3,0,0,0,scattered clouds
2,Coimbatore,11,76.9667,Inland,31-01-2026 15:21,31-01-2026 15:28,30.88,25,1012,3.6,0,5,0,0,0,scattered clouds
3,Madurai,9.9333,78.1167,Inland,31-01-2026 15:23,31-01-2026 15:28,31.01,40,1012,5.14,0,3,0,0,0,broken clouds
4,Tiruchirappalli,10.8167,78.6833,Inland,31-01-2026 15:19,31-01-2026 15:28,31.06,55,1012,4.12,0,3,0,0,0,haze
5,Salem,11.65,78.1667,Inland,31-01-2026 15:23,31-01-2026 15:28,30.31,42,1012,0,0,4,0,0,0,haze
6,Tirunelveli,8.7333,77.7,Inland,31-01-2026 15:21,31-01-2026 15:29,31.82,29,1011,3.99,0,3,0,0,0,scattered clouds
7,Thoothukudi,8.8054,78.1453,Coastal,31-01-2026 15:23,31-01-2026 15:29,33.16,49,1011,2.06,0,3,1,0,0,scattered clouds
8,Thanjavur,10.8,79.15,Inland,31-01-2026 15:20,31-01-2026 15:29,29.98,65,1012,5.72,0,3,0,0,0,scattered clouds
9,Erode,11.35,77.7333,Inland,31-01-2026 15:23,31-01-2026 15:29,30.76,21,1012,2.76,0,4,0,0,0,scattered clouds
10,Vellore,12.9333,79.1333,Inland,31-01-2026 15:19,31-01-2026 15:29,29.91,31,1013,5.08,0,3,0,0,0,few clouds
11,Dindigul,10.35,77.95,Inland,31-01-2026 15:24,31-01-2026 15:29,29.12,31,1013,3.37,0,3,0,0,0,scattered clouds
12,Karur,10.95,78.0833,Inland,31-01-2026 15:24,31-01-2026 15:29,31.21,24,1012,3.31,0,4,0,0,0,clear sky
13,Namakkal,11.2213,78.1652,Inland,31-01-2026 15:24,31-01-2026 15:29,29.51,46,1012,3.58,0,5,0,0,0,few clouds
14,Cuddalore,11.75,79.75,Coastal,31-01-2026 15:24,31-01-2026 15:29,28.21,68,1013,6.64,0,3,0,1,0,broken clouds
15,Nagapattinam,10.7667,79.8333,Coastal,31-01-2026 15:22,31-01-2026 15:29,26.73,65,1013,6.39,0,3,0,1,0,broken clouds
16,Tiruppur,11.1,77.35,Inland,31-01-2026 15:24,31-01-2026 15:29,30.31,21,1012,3.79,0,4,0,0,0,scattered clouds
17,Kanchipuram,12.8333,79.7167,Inland,31-01-2026 15:19,31-01-2026 15:29,29.03,40,1013,5.81,0,3,0,0,0,few clouds
18,Chengalpattu,12.7,79.9833,Inland,31-01-2026 15:20,31-01-2026 15:29,27.5,51,1013,5.95,0,3,0,0,0,scattered clouds
19,Villupuram,11.9333,79.4833,Inland,31-01-2026 15:24,31-01-2026 15:29,29.39,56,1013,0.89,0,3,0,0,0,broken clouds
20,Arcot,12.9,79.3333,Inland,31-01-2026 15:24,31-01-2026 15:29,29.62,33,1013,5.25,0,3,0,0,0,scattered clouds
21,Tiruvannamalai,12.2167,79.0667,Inland,31-01-2026 15:24,31-01-2026 15:29,29.19,36,1013,4.32,0,3,0,0,0,broken clouds
22,Krishnagiri,12.5333,78.2333,Inland,31-01-2026 15:24,31-01-2026 15:29,29.4,21,1012,3.02,0,4,0,0,0,scattered clouds
23,Dharmapuri,12.1333,78.1667,Inland,31-01-2026 15:24,31-01-2026 15:29,28.97,25,1013,4.11,0,3,0,0,0,broken clouds
24,Perambalur,11.2333,78.8833,Inland,31-01-2026 15:24,31-01-2026 15:29,30.2,44,1012,4.48,0,3,0,0,0,few clouds
25,Ariyalur,11.1333,79.0833,Inland,31-01-2026 15:24,31-01-2026 15:29,30.53,56,1012,0.45,0,3,0,0,0,few clouds
26,Mayiladuthurai,11.1,79.6667,Inland,31-01-2026 15:24,31-01-2026 15:29,26.67,63,1013,5.59,0,3,0,0,0,broken clouds
27,Tenkasi,8.956,77.3058,Inland,31-01-2026 15:24,31-01-2026 15:29,30.5,26,1012,2.91,0,3,0,0,0,few clouds
28,Virudhunagar,9.5822,77.9537,Inland,31-01-2026 15:24,31-01-2026 15:29,31.68,27,1011,5.26,0,3,0,0,0,scattered clouds
29,Sivaganga,9.8667,78.4833,Inland,31-01-2026 15:24,31-01-2026 15:29,30.3,42,1012,5.41,0,3,0,0,0,clear sky
30,Ramanathapuram,9.3833,78.8333,Coastal,31-01-2026 15:24,31-01-2026 15:29,28.39,59,1012,8.22,0,3,0,1,0,scattered clouds
31,Pudukkottai,10.3833,78.8167,Inland,31-01-2026 15:24,31-01-2026 15:29,28.81,51,1012,5.56,0,3,0,0,0,scattered clouds
32,Ooty,11.4,76.7,Hill,31-01-2026 15:29,31-01-2026 15:29,18.79,39,1014,1.3,0,5,0,0,0,broken clouds
33,Theni,10,77.4833,Inland,31-01-2026 15:24,31-01-2026 15:29,29.32,29,1013,2.68,0,3,0,0,0,few clouds
